site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
連江縣莒光鄉,962,538,1500,0.3586666666666667,0,0,38,38,0.025333333333333333,832,0.5546666666666666
連江縣南竿鄉,4002,2532,6534,0.3875114784205693,0,0,235,235,0.0359657177838996,3436,0.5258647076828895
苗栗縣大湖鄉,10308,2917,13225,0.22056710775047259,5,250,389,639,0.04831758034026465,6825,0.5160680529300568
苗栗縣公館鄉,20856,8789,29645,0.2964749536178108,12,600,144,744,0.025096980941136784,15290,0.5157699443413729
苗栗縣後龍鎮,24772,7618,32390,0.2351960481630133,9,450,389,839,0.02590305649891942,16428,0.5071935782648965
苗栗縣苗栗市,49041,28702,77743,0.3691907953127613,33,1650,63,1713,0.02203413812176016,39095,0.5028748569002998
苗栗縣南庄鄉,7445,1640,9085,0.18051733626857458,1,50,161,211,0.02322509631260319,4294,0.4726472206934507
苗栗縣三灣鄉,4687,1419,6106,0.2323943661971831,0,0,161,161,0.026367507369800196,3313,0.5425810678021618
苗栗縣三義鄉,10505,4025,14530,0.2770130763936683,3,150,131,281,0.01933929800412939,7613,0.5239504473503097
苗栗縣獅潭鄉,3412,705,4117,0.17124119504493562,0,0,85,85,0.020646101530240466,2129,0.5171241195044936
苗栗縣泰安鄉,4432,702,5134,0.13673548889754578,0,0,207,207,0.0403194390338917,2486,0.4842228282041293
苗栗縣通霄鎮,23982,7161,31143,0.2299393122049899,8,400,317,717,0.023022830170503807,16137,0.5181581735863597
苗栗縣銅鑼鄉,11716,4407,16123,0.2733362277491782,4,200,173,373,0.023134652359982633,8380,0.5197543881411648
苗栗縣頭份市,56601,30474,87075,0.34997416020671834,31,1550,55,1605,0.01843238587424634,45980,0.5280505311513063
苗栗縣頭屋鄉,7242,2515,9757,0.2577636568617403,2,100,8,108,0.011068976119708926,5114,0.5241365173721431
苗栗縣西湖鄉,5148,1462,6610,0.22118003025718608,0,0,304,304,0.04599092284417549,3563,0.5390317700453858
苗栗縣苑裡鎮,30989,9795,40784,0.24016771282856023,11,550,334,884,0.021675166732051786,21285,0.5218958415064732
苗栗縣造橋鄉,8570,3019,11589,0.2605056519112952,1,50,330,380,0.03278971438432997,6034,0.5206661489343343
苗栗縣竹南鎮,45156,25951,71107,0.36495703657867723,25,1250,440,1690,0.023766999029631402,37717,0.5304259777518388
苗栗縣卓蘭鎮,11853,3591,15444,0.23251748251748253,3,150,380,530,0.034317534317534315,8169,0.528943278943279
南投縣埔里鎮,53481,18439,71920,0.2563820912124583,28,1400,82,1482,0.02060622914349277,33482,0.46554505005561736
南投縣草屯鎮,57643,28970,86613,0.3344763488159976,34,1700,198,1898,0.021913569556533084,43954,0.5074757830810618
南投縣國姓鄉,14226,3007,17233,0.1744908025300296,2,100,173,273,0.01584169906574595,8385,0.48656647130505426
南投縣集集鎮,7602,2336,9938,0.23505735560474944,1,50,173,223,0.0224391225598712,5112,0.5143892131213524
南投縣鹿谷鄉,12623,3800,16423,0.23138281678134323,4,200,74,274,0.016683918894233696,9001,0.5480728246970712
南投縣名間鄉,26502,8496,34998,0.24275672895594033,11,550,41,591,0.016886679238813648,18116,0.5176295788330761
南投縣南投市,56104,31874,87978,0.36229511923435403,37,1850,185,2035,0.023130782695673917,44213,0.5025460910682216
南投縣仁愛鄉,11056,1929,12985,0.14855602618405853,1,50,173,223,0.017173661917597227,6297,0.4849441663457836
南投縣水里鄉,12743,3436,16179,0.21237406514617715,3,150,99,249,0.015390320786204338,7833,0.4841461153346931
南投縣信義鄉,11662,2198,13860,0.15858585858585858,1,50,198,248,0.017893217893217895,6735,0.48593073593073594
南投縣魚池鄉,11645,2825,14470,0.19523151347615758,2,100,61,161,0.011126468555632343,7231,0.49972356599861784
南投縣中寮鄉,11173,2471,13644,0.181105247727939,2,100,1,101,0.0074025212547639985,7052,0.5168572266197596
南投縣竹山鎮,37042,12035,49077,0.24522688835910916,17,850,62,912,0.018583042973286876,25057,0.5105650304623347
澎湖縣白沙鄉,6953,1875,8828,0.21239238785681921,0,0,191,191,0.021635704576347985,4538,0.5140462165835976
澎湖縣湖西鄉,9942,3100,13042,0.23769360527526454,0,0,259,259,0.019858917343965648,6306,0.4835147983438123
澎湖縣馬公市,37182,17976,55158,0.32590014141194384,0,0,1668,1668,0.03024040030457957,26087,0.4729504333006998
澎湖縣七美鄉,2698,751,3449,0.21774427370252247,0,0,56,56,0.016236590316033632,1790,0.5189910118875036
澎湖縣望安鄉,3705,990,4695,0.2108626198083067,0,0,78,78,0.016613418530351438,2535,0.5399361022364217
澎湖縣西嶼鄉,6171,1392,7563,0.18405394684648949,0,0,111,111,0.014676715589051963,3916,0.5177839481687161
屏東縣潮州鎮,34075,14530,48605,0.2989404382265199,16,800,384,1184,0.024359633782532662,22956,0.4722970887768748
屏東縣車城鄉,6547,1240,7787,0.15923975857197895,0,0,239,239,0.030692179273147553,3446,0.442532425837935
屏東縣春日鄉,3610,473,4083,0.11584619152583885,0,0,14,14,0.003428851334802841,1699,0.41611560127357333
屏東縣東港鎮,30844,10457,41301,0.2531899953996271,0,0,2620,2620,0.0634367206605167,20568,0.49800246967385775
屏東縣枋寮鄉,17886,4401,22287,0.197469376766725,4,200,23,223,0.010005832996814287,10720,0.4809978911473056
屏東縣枋山鄉,4259,704,4963,0.14184968768889786,0,0,47,47,0.009470078581503123,2224,0.4481160588353818
屏東縣高樹鄉,18618,3878,22496,0.17238620199146515,4,200,59,259,0.011513157894736841,11292,0.5019559032716927
屏東縣恆春鎮,21203,5450,26653,0.2044797958953964,7,350,32,382,0.014332345326980077,12405,0.4654260308408059
屏東縣佳冬鄉,14031,3728,17759,0.2099217298271299,4,200,32,232,0.013063798637310659,8762,0.49338363646601724
屏東縣九如鄉,15024,4770,19794,0.24098211579266443,5,250,32,282,0.01424674143679903,9817,0.4959583712236031
屏東縣崁頂鄉,9788,3065,12853,0.23846572784563916,3,150,9,159,0.012370652765891232,6266,0.48751264296273245
屏東縣來義鄉,5586,909,6495,0.13995381062355658,0,0,226,226,0.034795996920708235,2968,0.45696689761354886
屏東縣里港鄉,17172,6018,23190,0.25950840879689524,4,200,276,476,0.02052608883139284,11962,0.5158257869771453
屏東縣林邊鄉,12638,3738,16376,0.22826086956521738,3,150,23,173,0.010564240351734245,8330,0.5086712261846604
屏東縣麟洛鄉,6776,3457,10233,0.33782859376526925,3,150,9,159,0.015537965406039285,5209,0.5090393823903059
屏東縣琉球鄉,9033,1953,10986,0.17777170944838885,0,0,276,276,0.025122883670125613,5980,0.544329146186055
屏東縣瑪家鄉,4836,955,5791,0.16491106890001728,1,50,27,77,0.013296494560524952,2503,0.4322224140908306
屏東縣滿州鄉,6140,1054,7194,0.14651098137336668,1,50,18,68,0.009452321378926884,3074,0.4273005282179594
屏東縣牡丹鄉,3584,754,4338,0.17381281696634393,0,0,253,253,0.05832180728446289,1898,0.4375288151221761
屏東縣南州鄉,7453,2349,9802,0.23964497041420119,1,50,312,362,0.03693123852275046,4926,0.50255049989798
屏東縣內埔鄉,35690,13860,49550,0.27971745711402624,12,600,77,677,0.013662966700302724,23439,0.47303733602421794
屏東縣屏東市,110038,67185,177223,0.3790986497237943,64,3200,366,3566,0.02012154178633699,83665,0.4720888372276736
屏東縣三地門鄉,5615,937,6552,0.143009768009768,1,50,14,64,0.009768009768009768,2785,0.42506105006105005
屏東縣獅子鄉,3658,530,4188,0.1265520534861509,0,0,14,14,0.0033428844317096467,1887,0.4505730659025788
屏東縣泰武鄉,3772,600,4372,0.1372369624885636,0,0,77,77,0.017612076852698992,2040,0.46660567246111617
屏東縣萬丹鄉,33776,11507,45283,0.2541130225470927,8,400,732,1132,0.024998343749309895,23049,0.5089989620829009
屏東縣萬巒鄉,14403,4176,18579,0.22476990150169546,3,150,23,173,0.009311588352440928,9038,0.48646321115237634
