縣市,鄉鎮市區,送出冊數,送出張數,剩餘,總張數
澎湖縣,西嶼鄉,0,0,69,69
澎湖縣,望安鄉,0,0,61,61
澎湖縣,七美鄉,0,0,111,111
金門縣,金城鎮,0,0,985,985
金門縣,金湖鎮,0,0,634,634
金門縣,金沙鎮,0,0,382,382
金門縣,金寧鎮,0,0,811,811
金門縣,烈嶼鄉,0,0,270,270
金門縣,烏坵鄉,0,0,15,15
連江縣,南竿鄉,0,0,189,189
連江縣,北竿鄉,0,0,82,82
連江縣,莒光鄉,0,0,20,20
連江縣,東引鄉,0,0,20,20
